@relation 'n_gram_feature_lucene_manual_part1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6932,last-weka.filters.unsupervised.attribute.Remove-R6933_n_gram_feature_lucene_manual_part2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-7163,last-weka.filters.unsupervised.attribute.Remove-R7164_n_gram_feature_lucene_manual_part3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6693,last-weka.filters.unsupervised.attribute.Remove-R6694_n_gram_feature_lucene_manual_part4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-4807,last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature40096 numeric
@attribute Feature72524 numeric
@attribute Feature5557 numeric
@attribute Feature36946 numeric
@attribute Feature94220 numeric
@attribute Feature12955 numeric
@attribute Feature10474 numeric
@attribute Feature11761 numeric
@attribute Feature46995 numeric
@attribute Feature38714 numeric
@attribute Feature11592 numeric
@attribute Feature40772 numeric
@attribute Feature64989 numeric
@attribute Feature24051 numeric
@attribute Feature3276 numeric
@attribute Feature66318 numeric
@attribute Feature69091 numeric
@attribute Feature709 numeric
@attribute Feature12049 numeric
@attribute Feature9755 numeric
@attribute Feature87971 numeric
@attribute Feature2986 numeric
@attribute Feature41847 numeric
@attribute Feature28514 numeric
@attribute Feature188 numeric
@attribute Feature84192 numeric
@attribute Feature31457 numeric
@attribute Feature65630 numeric
@attribute Feature86347 numeric
@attribute Feature66997 numeric
@attribute Feature60834 numeric
@attribute Feature11685 numeric
@attribute Feature41492 numeric
@attribute Feature19420 numeric
@attribute Feature68001 numeric
@attribute Feature85025 numeric
@attribute Feature48336 numeric
@attribute Feature58693 numeric
@attribute Feature87502 numeric
@attribute Feature99382 numeric
@attribute Feature18194 numeric
@attribute Feature53241 numeric
@attribute Feature22581 numeric
@attribute Feature85399 numeric
@attribute Feature75106 numeric
@attribute Feature58069 numeric
@attribute Feature86262 numeric
@attribute Feature44278 numeric
@attribute Feature84965 numeric
@attribute Feature94042 numeric
@attribute Feature17374 numeric
@attribute Feature25346 numeric
@attribute Feature47831 numeric
@attribute Feature81044 numeric
@attribute Feature75085 numeric
@attribute Feature60759 numeric
@attribute Feature31729 numeric
@attribute Feature82236 numeric
@attribute Feature43103 numeric
@attribute Feature35329 numeric
@attribute Feature45059 numeric
@attribute Feature25270 numeric
@attribute Feature64376 numeric
@attribute Feature41081 numeric
@attribute Feature59969 numeric
@attribute Feature48807 numeric
@attribute Feature39314 numeric
@attribute Feature80540 numeric
@attribute Feature89726 numeric
@attribute Feature14452 numeric
@attribute Feature64017 numeric
@attribute Feature66601 numeric
@attribute Feature91481 numeric
@attribute Feature62241 numeric
@attribute Feature46237 numeric
@attribute Feature56192 numeric
@attribute Feature30538 numeric
@attribute Feature13661 numeric
@attribute Feature20488 numeric
@attribute Feature35519 numeric
@attribute Feature61077 numeric
@attribute Feature61949 numeric
@attribute Feature87339 numeric
@attribute Feature22514 numeric
@attribute Feature16305 numeric
@attribute Feature50334 numeric
@attribute Feature99771 numeric
@attribute Feature47369 numeric
@attribute Feature99315 numeric
@attribute Feature49983 numeric
@attribute Feature31148 numeric
@attribute Feature39753 numeric
@attribute Feature40307 numeric
@attribute Feature30807 numeric
@attribute Feature98175 numeric
@attribute Feature78056 numeric
@attribute Feature83560 numeric
@attribute Feature36353 numeric
@attribute Feature12517 numeric
@attribute Feature34646 numeric
@attribute Feature28839 numeric
@attribute Feature88677 numeric
@attribute Feature61987 numeric
@attribute Feature12944 numeric
@attribute Feature73327 numeric
@attribute Feature50785 numeric
@attribute Feature3347 numeric
@attribute Feature68032 numeric
@attribute Feature30520 numeric
@attribute Feature82150 numeric
@attribute Feature176958 numeric
@attribute Feature194342 numeric
@attribute Feature189271 numeric
@attribute Feature116555 numeric
@attribute Feature175451 numeric
@attribute Feature177136 numeric
@attribute Feature100694 numeric
@attribute Feature162308 numeric
@attribute Feature103287 numeric
@attribute Feature189116 numeric
@attribute Feature191027 numeric
@attribute Feature162951 numeric
@attribute Feature144417 numeric
@attribute Feature141043 numeric
@attribute Feature162824 numeric
@attribute Feature100474 numeric
@attribute Feature188729 numeric
@attribute Feature170345 numeric
@attribute Feature177014 numeric
@attribute Feature143590 numeric
@attribute Feature179482 numeric
@attribute Feature169326 numeric
@attribute Feature117780 numeric
@attribute Feature102128 numeric
@attribute Feature100701 numeric
@attribute Feature176485 numeric
@attribute Feature109931 numeric
@attribute Feature186490 numeric
@attribute Feature107607 numeric
@attribute Feature187734 numeric
@attribute Feature119988 numeric
@attribute Feature117783 numeric
@attribute Feature107602 numeric
@attribute Feature198286 numeric
@attribute Feature191222 numeric
@attribute Feature150624 numeric
@attribute Feature175161 numeric
@attribute Feature162931 numeric
@attribute Feature102018 numeric
@attribute Feature179876 numeric
@attribute Feature199740 numeric
@attribute Feature129920 numeric
@attribute Feature196211 numeric
@attribute Feature152895 numeric
@attribute Feature141038 numeric
@attribute Feature100321 numeric
@attribute Feature180178 numeric
@attribute Feature117584 numeric
@attribute Feature191133 numeric
@attribute Feature150563 numeric
@attribute Feature153672 numeric
@attribute Feature178225 numeric
@attribute Feature166709 numeric
@attribute Feature142938 numeric
@attribute Feature102132 numeric
@attribute Feature136546 numeric
@attribute Feature177040 numeric
@attribute Feature196501 numeric
@attribute Feature157533 numeric
@attribute Feature117777 numeric
@attribute Feature196396 numeric
@attribute Feature196378 numeric
@attribute Feature177746 numeric
@attribute Feature130168 numeric
@attribute Feature130277 numeric
@attribute Feature162432 numeric
@attribute Feature162770 numeric
@attribute Feature103195 numeric
@attribute Feature177630 numeric
@attribute Feature189953 numeric
@attribute Feature166838 numeric
@attribute Feature129256 numeric
@attribute Feature117437 numeric
@attribute Feature176930 numeric
@attribute Feature162886 numeric
@attribute Feature162115 numeric
@attribute Feature144792 numeric
@attribute Feature161203 numeric
@attribute Feature220977 numeric
@attribute Feature294233 numeric
@attribute Feature258826 numeric
@attribute Feature206525 numeric
@attribute Feature234749 numeric
@attribute Feature244445 numeric
@attribute Feature257007 numeric
@attribute Feature263487 numeric
@attribute Feature210016 numeric
@attribute Feature256704 numeric
@attribute Feature256156 numeric
@attribute Feature299737 numeric
@attribute Feature255248 numeric
@attribute Feature274677 numeric
@attribute Feature224885 numeric
@attribute Feature249699 numeric
@attribute Feature208090 numeric
@attribute Feature268158 numeric
@attribute Feature210160 numeric
@attribute Feature285772 numeric
@attribute Feature238977 numeric
@attribute Feature251543 numeric
@attribute Feature264604 numeric
@attribute Feature213718 numeric
@attribute Feature276095 numeric
@attribute Feature256135 numeric
@attribute Feature270773 numeric
@attribute Feature262155 numeric
@attribute Feature216606 numeric
@attribute Feature209936 numeric
@attribute Feature217407 numeric
@attribute Feature270752 numeric
@attribute Feature206705 numeric
@attribute Feature227037 numeric
@attribute Feature212901 numeric
@attribute Feature269220 numeric
@attribute Feature219154 numeric
@attribute Feature274088 numeric
@attribute Feature261262 numeric
@attribute Feature237794 numeric
@attribute Feature236133 numeric
@attribute Feature226542 numeric
@attribute Feature278409 numeric
@attribute Feature258617 numeric
@attribute Feature212026 numeric
@attribute Feature266620 numeric
@attribute Feature276500 numeric
@attribute Feature273922 numeric
@attribute Feature210401 numeric
@attribute Feature306254 numeric
@attribute Feature347095 numeric
@attribute Feature367041 numeric
@attribute Feature347778 numeric
@attribute Feature309520 numeric
@attribute Feature362435 numeric
@attribute Feature347138 numeric
@attribute Feature348456 numeric
@attribute Feature305006 numeric
@attribute Feature314901 numeric
@attribute Feature371975 numeric
@attribute Feature362715 numeric
@attribute Feature344024 numeric
@attribute Feature351286 numeric
@attribute Feature354900 numeric
@attribute Feature303971 numeric
@attribute Feature355072 numeric
@attribute Feature359765 numeric
@attribute Feature333210 numeric
@attribute Feature352950 numeric
@attribute Feature321680 numeric
@attribute Feature322060 numeric
@attribute Feature321003 numeric
@attribute Feature348458 numeric
@attribute Feature366944 numeric
@attribute Feature364037 numeric
@attribute Feature321540 numeric
@attribute Feature358273 numeric
@attribute Feature330532 numeric
@attribute Feature318012 numeric
@attribute Feature370996 numeric
@attribute Feature300085 numeric
@attribute Feature317247 numeric
@attribute Feature340969 numeric
@attribute Feature329838 numeric
@attribute Feature352001 numeric
@attribute Feature347069 numeric
@attribute Feature363148 numeric
@attribute Feature346787 numeric
@attribute Feature331276 numeric
@attribute Feature349094 numeric
@attribute Feature364596 numeric
@attribute Feature348436 numeric
@attribute Report_Type {FEATURE,BUG}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,1,1,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,0,0,0,0,2,0,0,1,0,0,8,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,26,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,31,4,1,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
